"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 07, 2018","89.56","89.47","89.75","89.36","0","-0.03"
"Mar 06, 2018","89.59","89.92","90.03","89.47","32.81K","-0.50"
"Mar 05, 2018","90.04","89.83","90.19","89.65","24.45K","0.14"
"Mar 02, 2018","89.91","90.20","90.26","89.83","25.82K","-0.41"
"Mar 01, 2018","90.28","90.66","90.89","90.16","39.78K","-0.30"
"Feb 28, 2018","90.55","90.31","90.65","90.25","24.71K","0.30"
"Feb 27, 2018","90.28","89.67","90.44","89.62","29.72K","0.55"
"Feb 26, 2018","89.79","89.88","90.00","89.42","20.83K","-0.02"
"Feb 23, 2018","89.81","89.70","89.99","89.69","16.56K","0.17"
"Feb 22, 2018","89.66","90.06","90.17","89.56","24.08K","-0.28"
"Feb 21, 2018","89.91","89.67","90.06","89.49","23.07K","0.30"
"Feb 20, 2018","89.64","89.17","89.72","89.16","17.88K","0.71"
"Feb 19, 2018","89.01","89.00","89.36","88.86","11.42K","0.00"
"Feb 16, 2018","89.01","88.50","89.15","88.15","26.17K","0.58"
"Feb 15, 2018","88.50","88.89","88.89","88.44","27.69K","-0.56"
"Feb 14, 2018","89.00","89.59","90.02","88.83","39.24K","-0.66"
"Feb 13, 2018","89.59","90.06","90.07","89.49","20.99K","-0.57"
"Feb 12, 2018","90.10","90.25","90.31","89.95","19.21K","-0.25"
"Feb 09, 2018","90.33","90.16","90.45","90.00","34.96K","0.23"
"Feb 08, 2018","90.12","90.16","90.45","89.89","35.27K","0.00"
"Feb 07, 2018","90.12","89.49","90.28","89.33","33.06K","0.75"
"Feb 06, 2018","89.45","89.47","89.92","89.23","40.15K","0.04"
"Feb 05, 2018","89.41","89.19","89.58","88.88","37.14K","0.42"
"Feb 02, 2018","89.04","88.49","89.28","88.44","32.68K","0.61"
"Feb 01, 2018","88.50","88.94","89.17","88.39","23.88K","-0.51"
"Jan 31, 2018","88.95","88.95","89.14","88.61","29.18K","-0.06"
"Jan 30, 2018","89.00","89.22","89.48","88.74","26.24K","-0.15"
"Jan 29, 2018","89.13","88.95","89.44","88.83","25.77K","0.27"
"Jan 26, 2018","88.89","89.17","89.18","88.56","33.16K","-0.38"
"Jan 25, 2018","89.23","89.09","89.42","88.25","77.36K","0.25"
"Jan 24, 2018","89.01","89.88","89.91","88.95","32.30K","-1.01"
"Jan 23, 2018","89.92","90.16","90.39","89.84","20.36K","-0.30"
"Jan 22, 2018","90.19","90.27","90.50","90.14","16.70K","-0.20"
"Jan 19, 2018","90.37","90.32","90.51","89.96","24.17K","0.08"
"Jan 18, 2018","90.30","90.65","90.77","90.20","28.15K","-0.01"
"Jan 17, 2018","90.31","89.99","90.69","89.96","33.60K","0.18"
"Jan 16, 2018","90.15","90.25","90.58","90.11","27.97K","-0.64"
"Jan 15, 2018","90.73","90.59","90.70","90.05","24.81K","0.00"
"Jan 12, 2018","90.73","91.51","91.63","90.53","40.56K","-0.96"
"Jan 11, 2018","91.61","92.07","92.31","91.53","22.70K","-0.50"
"Jan 10, 2018","92.07","92.22","92.28","91.65","24.56K","-0.21"
"Jan 09, 2018","92.26","92.07","92.36","91.96","21.58K","0.17"
"Jan 08, 2018","92.10","91.77","92.14","91.61","15.96K","0.47"
"Jan 05, 2018","91.67","91.55","91.83","91.51","13.75K","0.10"
"Jan 04, 2018","91.58","91.97","92.00","91.52","15.73K","-0.35"
"Jan 03, 2018","91.90","91.56","91.99","91.53","17.21K","0.36"
"Jan 02, 2018","91.57","91.89","91.93","91.47","19.62K","-0.28"
"Dec 29, 2017","91.83","92.36","92.38","91.81","21.61K","-0.51"
"Dec 28, 2017","92.30","92.69","92.69","92.28","15.44K","-0.33"
"Dec 27, 2017","92.61","92.83","92.86","92.53","16.22K","-0.20"
"Dec 26, 2017","92.80","92.89","92.96","92.75","6.31K","-0.13"
"Dec 22, 2017","92.92","93.00","93.08","92.87","9.38K","0.06"
"Dec 21, 2017","92.86","92.92","93.09","92.81","12.90K","-0.03"
"Dec 20, 2017","92.89","93.03","93.12","92.75","20.13K","-0.15"
"Dec 19, 2017","93.03","93.25","93.31","93.02","14.68K","-0.52"
"Dec 18, 2017","93.52","94.00","94.02","93.58","0.54K","-0.44"
"Dec 15, 2017","93.93","93.57","94.00","93.41","8.97K","0.48"
"Dec 14, 2017","93.48","93.38","93.77","93.28","29.83K","0.06"
"Dec 13, 2017","93.42","94.02","94.09","93.34","30.86K","-0.70"
"Dec 12, 2017","94.08","93.89","94.21","93.75","18.70K","0.26"
"Dec 11, 2017","93.84","93.86","93.95","93.65","26.43K","-0.03"
"Dec 08, 2017","93.87","93.80","94.08","93.78","19.75K","0.11"
"Dec 07, 2017","93.77","93.56","93.78","93.50","14.81K","0.20"
"Dec 06, 2017","93.58","93.31","93.62","93.14","21.66K","0.27"
"Dec 05, 2017","93.33","93.02","93.44","93.00","18.29K","0.20"
"Dec 04, 2017","93.14","93.04","93.34","93.00","30.07K","0.32"
"Dec 01, 2017","92.84","92.91","93.21","92.55","31.15K","-0.17"
"Nov 30, 2017","93.00","93.20","93.47","92.68","27.69K","-0.12"
"Nov 29, 2017","93.11","93.17","93.38","92.92","17.79K","-0.11"
