date,price,tag
2017-08-03,448.49,bch
2017-08-04,362.18,bch
2017-08-05,231.11,bch
2017-08-06,212.18,bch
2017-08-07,223.76,bch
2017-08-08,321.35,bch
2017-08-09,345.28,bch
2017-08-10,305.21,bch
2017-08-11,275.88,bch
2017-08-12,327.82,bch
2017-08-13,316.29,bch
2017-08-14,296.1,bch
2017-08-15,298.19,bch
2017-08-16,297.97,bch
2017-08-17,301.02,bch
2017-08-18,458.67,bch
2017-08-19,697.04,bch
2017-08-20,772.42,bch
2017-08-21,723.7,bch
2017-08-22,596.19,bch
2017-08-23,690.96,bch
2017-08-24,670.03,bch
2017-08-25,627.06,bch
2017-08-26,641.88,bch
2017-08-27,625.89,bch
2017-08-28,619.7,bch
2017-08-29,596.13,bch
2017-08-30,549.32,bch
2017-08-31,576.25,bch
2017-09-01,588.4,bch
2017-09-02,621.96,bch
2017-09-03,578.27,bch
2017-09-04,608.26,bch
2017-09-05,514.9,bch
2017-09-06,541.28,bch
2017-09-07,636.85,bch
2017-09-08,654.37,bch
2017-09-09,584.73,bch
2017-09-10,546.48,bch
2017-09-11,537.19,bch
2017-09-12,539.03,bch
2017-09-13,509.47,bch
2017-09-14,504.22,bch
2017-09-15,369.49,bch
2017-09-16,424.49,bch
2017-09-17,438.9,bch
2017-09-18,422.09,bch
2017-09-19,480.64,bch
2017-09-20,526.74,bch
2017-09-21,475.83,bch
2017-09-22,417.92,bch
2017-09-23,415.31,bch
2017-09-24,428.8,bch
2017-09-25,419.65,bch
2017-09-26,445.36,bch
2017-09-27,441.86,bch
2017-09-28,456.71,bch
2017-09-29,447.66,bch
2017-09-30,436.64,bch
2017-10-01,433.38,bch
2017-10-02,415.87,bch
2017-10-03,421.79,bch
2017-10-04,404.2,bch
2017-10-05,358.42,bch
2017-10-06,355.44,bch
2017-10-07,363.6,bch
2017-10-08,360.09,bch
2017-10-09,342.76,bch
2017-10-10,313.22,bch
2017-10-11,320.2,bch
2017-10-12,315.47,bch
2017-10-13,314.15,bch
2017-10-14,321.54,bch
2017-10-15,322.42,bch
2017-10-16,315.26,bch
2017-10-17,313.7,bch
2017-10-18,373.65,bch
2017-10-19,339.27,bch
2017-10-20,330.9,bch
2017-10-21,326.75,bch
2017-10-22,323.5,bch
2017-10-23,330.67,bch
2017-10-24,315.9,bch
2017-10-25,326.59,bch
2017-10-26,332.11,bch
2017-10-27,338.3,bch
2017-10-28,369.54,bch
2017-10-29,420.47,bch
2017-10-30,458.45,bch
2017-10-31,449.37,bch
2017-11-01,438.3,bch
2017-11-02,527.68,bch
2017-11-03,587.32,bch
2017-11-04,635.35,bch
2017-11-05,619.91,bch
2017-11-06,630.31,bch
2017-11-07,602.68,bch
2017-11-08,615.24,bch
2017-11-09,622.31,bch
2017-11-10,651.77,bch
2017-11-11,1001.64,bch
2017-11-12,1346.97,bch
2017-11-13,1381.82,bch
2017-11-14,1346.73,bch
2017-11-15,1269.79,bch
2017-11-16,1202.17,bch
2017-11-17,909.16,bch
2017-11-18,1197.43,bch
2017-11-19,1260.95,bch
2017-11-20,1172.43,bch
2017-11-21,1220.78,bch
2017-11-22,1175.06,bch
2017-11-23,1302.23,bch
2017-11-24,1651.86,bch
2017-11-25,1634.0,bch
2017-11-26,1571.39,bch
2017-11-27,1722.93,bch
2017-11-28,1621.17,bch
2017-11-29,1541.63,bch
2017-11-30,1380.36,bch
2017-12-01,1381.81,bch
2017-12-02,1462.06,bch
2017-12-03,1435.36,bch
2017-12-04,1560.16,bch
2017-12-05,1580.16,bch
2017-12-06,1498.49,bch
2017-12-07,1430.71,bch
2017-12-08,1329.16,bch
2017-12-09,1464.63,bch
2017-12-10,1411.84,bch
2017-12-11,1320.0,bch
2017-12-12,1427.38,bch
2017-12-13,1616.99,bch
2017-12-14,1600.67,bch
2017-12-15,1974.66,bch
2017-12-16,1824.85,bch
2017-12-17,1812.33,bch
2017-12-18,1869.21,bch
2017-12-19,2199.06,bch
2017-12-20,2825.03,bch
2017-12-21,3909.0,bch
2017-12-22,3324.0,bch
2017-12-23,2746.95,bch
2017-12-24,3260.55,bch
2017-12-25,2929.35,bch
2017-12-26,2947.74,bch
2017-12-27,3108.32,bch
2017-12-28,2888.64,bch
2017-12-29,2587.3,bch
2017-12-30,2791.55,bch
2017-12-31,2376.96,bch
2018-01-01,2534.82,bch
2018-01-02,2434.5,bch
2018-01-03,2700.55,bch
2018-01-04,2608.87,bch
2018-01-05,2400.74,bch
2018-01-06,2583.71,bch
2018-01-07,2784.68,bch
2018-01-08,2786.6,bch
2018-01-09,2412.36,bch
2018-01-10,2390.02,bch
2018-01-11,2891.55,bch
2018-01-12,2475.9,bch
2018-01-13,2617.66,bch
2018-01-14,2687.1,bch
2018-01-15,2541.58,bch
2018-01-16,2406.86,bch
2018-01-17,1767.58,bch
2018-01-18,1752.27,bch
2018-01-19,1740.17,bch
2018-01-20,1784.26,bch
2018-01-21,2033.7,bch
2018-01-22,1794.46,bch
2018-01-23,1623.14,bch
2018-01-24,1622.15,bch
2018-01-25,1661.04,bch
2018-01-26,1637.19,bch
2018-01-27,1602.5,bch
2018-01-28,1636.41,bch
2018-01-29,1745.36,bch
2018-01-30,1657.69,bch
2018-01-31,1470.74,bch
2018-02-01,1491.12,bch
2018-02-02,1272.5,bch
2018-02-03,1194.23,bch
2018-02-04,1273.17,bch
2018-02-05,1159.89,bch
2018-02-06,890.97,bch
2018-02-07,971.08,bch
2018-02-08,951.57,bch
2018-02-09,1273.87,bch
2018-02-10,1311.99,bch
2018-02-11,1255.59,bch
2018-02-12,1222.43,bch
2018-02-13,1285.23,bch
2018-02-14,1229.18,bch
2018-02-15,1358.65,bch
2018-02-16,1373.16,bch
2018-02-17,1548.48,bch
2018-02-18,1552.1,bch
2018-02-19,1483.34,bch
2018-02-20,1543.27,bch
2018-02-21,1412.85,bch
2018-02-22,1304.66,bch
2018-02-23,1217.36,bch
2018-02-24,1266.56,bch
2018-02-25,1191.35,bch
2018-02-26,1177.58,bch
2018-02-27,1255.45,bch
2018-02-28,1243.26,bch
2018-03-01,1204.84,bch
2018-03-02,1284.95,bch
2018-03-03,1274.67,bch
2018-03-04,1267.86,bch
2018-03-05,1287.1,bch
